date,from_symbol,to_symbol,fee
2024-06-12,QQQ,UVXY,0.0
2024-06-20,UVXY,QQQ,0.0
2024-07-05,QQQ,UVXY,0.0
2024-07-11,UVXY,QQQ,0.0
2024-07-24,QQQ,TQQQ,0.0
2024-07-26,TQQQ,XLU,0.0
2024-07-30,XLU,TQQQ,0.0
2024-07-31,TQQQ,QQQ,0.0
2024-08-01,QQQ,XLU,0.0
2024-08-05,XLU,TQQQ,0.0
2024-08-08,TQQQ,XLU,0.0
2024-08-15,XLU,QQQ,0.0
2024-09-06,QQQ,XLU,0.0
2024-09-10,XLU,QQQ,0.0
2024-10-31,QQQ,XLU,0.0
2024-11-05,XLU,QQQ,0.0
2024-12-18,QQQ,XLU,0.0
2024-12-24,XLU,QQQ,0.0
2024-12-27,QQQ,XLU,0.0
2025-01-17,XLU,QQQ,0.0
2025-02-21,QQQ,XLU,0.0
2025-02-27,XLU,TQQQ,0.0
2025-02-28,TQQQ,XLU,0.0
2025-03-03,XLU,TQQQ,0.0
2025-03-05,TQQQ,XLU,0.0
2025-03-06,XLU,TQQQ,0.0
2025-03-07,TQQQ,XLU,0.0
2025-03-10,XLU,TQQQ,0.0
2025-03-14,TQQQ,GLD,0.0
2025-03-24,GLD,XLU,0.0
2025-03-26,XLU,GLD,0.0
2025-04-03,GLD,TQQQ,0.0
2025-04-09,TQQQ,GLD,0.0
2025-04-24,GLD,QQQ,0.0
2025-05-16,QQQ,UVXY,0.0
2025-05-20,UVXY,QQQ,0.0
2025-08-01,QQQ,XLU,0.0
2025-08-04,XLU,QQQ,0.0
2025-09-22,QQQ,UVXY,0.0
2025-09-23,UVXY,QQQ,0.0
2025-10-10,QQQ,XLU,0.0
2025-10-13,XLU,QQQ,0.0
2025-10-16,QQQ,XLU,0.0
2025-10-17,XLU,QQQ,0.0
2025-11-06,QQQ,XLU,0.0
2025-11-10,XLU,QQQ,0.0
2025-11-13,QQQ,XLU,0.0
2025-11-20,XLU,TQQQ,0.0
2025-11-21,TQQQ,XLU,0.0
2025-11-25,XLU,QQQ,0.0
2025-12-17,QQQ,XLU,0.0
2025-12-18,XLU,QQQ,0.0
2026-01-20,QQQ,XLU,0.0
2026-01-22,XLU,QQQ,0.0
2026-02-04,QQQ,XLU,0.0
2026-02-05,XLU,TQQQ,0.0
2026-02-06,TQQQ,QQQ,0.0
2026-02-12,QQQ,XLU,0.0
2026-02-20,XLU,QQQ,0.0
2026-02-23,QQQ,XLU,0.0
2026-02-25,XLU,QQQ,0.0
2026-02-27,QQQ,XLU,0.0
2026-03-20,XLU,GLD,0.0
2026-03-27,GLD,TQQQ,0.0
2026-03-31,TQQQ,GLD,0.0
2026-04-08,GLD,QQQ,0.0
2026-04-16,QQQ,UVXY,0.0
2026-04-20,UVXY,QQQ,0.0
2026-04-22,QQQ,UVXY,0.0
2026-04-23,UVXY,QQQ,0.0
2026-04-24,QQQ,UVXY,0.0
2026-04-28,UVXY,QQQ,0.0
2026-05-05,QQQ,UVXY,0.0
2026-05-15,UVXY,QQQ,0.0
2026-06-01,QQQ,UVXY,0.0
2026-06-03,UVXY,QQQ,0.0
2026-06-09,QQQ,XLU,0.0
2026-06-12,XLU,QQQ,0.0
2026-06-17,QQQ,XLU,0.0
2026-06-18,XLU,QQQ,0.0
2026-06-23,QQQ,XLU,0.0
2026-06-30,XLU,QQQ,0.0
2026-07-17,QQQ,XLU,0.0
2026-07-21,XLU,QQQ,0.0
2026-07-23,QQQ,XLU,0.0
2026-07-29,XLU,TQQQ,0.0
2026-07-30,TQQQ,XLU,0.0
2026-07-31,XLU,QQQ,0.0
